Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence
2024,10-19,Male,31.550000000000004,17.9,High,5.0
2024,10-19,Female,43.480000000000004,25.57,High,6.0
2023,10-19,Male,54.7,41.699999999999996,High,6.0
2024,40-49,Male,43.15,57.69,Middle,10.0
2023,10-19,Male,60.6,24.519999999999996,High,1.0
2022,70-79,Male,5.34,19.79,High,10.0
2021,30-39,Female,60.480000000000004,43.2,Low,4.0
2022,10-19,Female,17.97,38.57,Middle,5.0
2021,70-79,Male,-3.1900000000000013,36.15,Low,9.0
2020,60-69,Female,13.18,4.4300000000000015,Low,2.0
2020,40-49,Male,49.65,79.85,High,5.0
2022,50-59,Male,48.72,11.41,High,2.0
2024,20-29,Male,40.31,37.25000000000001,Low,5.0
2022,60-69,Female,34.19,29.28,High,8.0
2020,10-19,Male,14.77,30.11,Low,17.1
2020,60-69,Male,24.029999999999998,29.92,Low,13.1
2023,30-39,Male,70.59,88.78,High,8.1
2024,10-19,Female,40.32,17.72,Middle,22.1
2021,30-39,Female,33.08,52.78,High,7.1
2021,10-19,Male,18.39,-4.540000000000001,Low,11.1
2023,30-39,Male,32.76,43.86,Low,14.1
2022,70-79,Male,2.8000000000000007,17.17,Middle,18.1
2021,20-29,Female,5.85,97.89,High,9.1
2020,60-69,Male,11.689999999999998,14.959999999999999,High,8.1
2022,10-19,Male,35.62,-6.410000000000002,Middle,19.1
2023,10-19,Female,50.5,29.5,High,7.1
2020,10-19,Male,32.01,47.46,Middle,15.1
2022,60-69,Male,8.579999999999998,-0.16999999999999993,Middle,21.1
2023,80+,Male,0.41999999999999815,-25.650000000000002,Middle,18.1
2020,50-59,Male,6.12,-7.580000000000002,Low,14.1
2020,10-19,Female,26.620000000000005,26.6,High,7.1
2021,20-29,Female,16.5,56.86,Middle,19.1
2022,80+,Male,-13.57,19.6,High,8.1
2024,10-19,Female,23.770000000000003,23.380000000000003,Middle,20.1
2021,30-39,Male,44.34,49.150000000000006,Middle,13.1
2022,70-79,Male,20.900000000000002,4.890000000000001,High,13.1
2021,20-29,Male,8.259999999999998,42.47,Low,18.1
2020,50-59,Female,3.5600000000000005,50.87,High,15.1
2020,70-79,Male,-8.46,-21.060000000000002,Low,18.1
2023,30-39,Male,26.35,45.8,Low,11.1
2024,50-59,Male,33.77,36.13,High,16.1
2023,10-19,Male,41.59,-7.110000000000003,Low,16.1
2020,60-69,Male,-2.5199999999999996,29.330000000000005,High,13.1
2023,40-49,Female,14.559999999999999,82.55,High,10.1
2020,50-59,Female,32.58,47.2,Middle,19.1
2020,30-39,Female,38.81,71.71000000000001,Middle,13.1
2022,20-29,Male,29.58,54.92,Low,12.1
2024,40-49,Female,8.92,54.01,Low,10.1
2022,20-29,Male,52.17,64.26,Middle,13.1
2023,80+,Male,-8.26,-2.6900000000000013,Low,10.1
2024,50-59,Female,24.76,-3.550000000000002,Low,12.1
2022,30-39,Female,51.010000000000005,34.49,Middle,17.1
2023,60-69,Male,35.19,40.940000000000005,Middle,15.1
2023,50-59,Male,11.319999999999999,47.3,Low,13.1
2023,10-19,Male,31.04,27.93,Middle,14.1
2023,50-59,Female,1.3500000000000005,24.41,High,14.1
2020,80+,Male,18.540000000000003,6.439999999999998,Low,9.1
2023,30-39,Female,55.11,32.57,Low,9.1
2023,20-29,Male,18.87,62.39,Low,17.1
2023,60-69,Male,22.209999999999997,32.260000000000005,High,8.1
2022,20-29,Male,33.44,50.980000000000004,High,11.1
2024,10-19,Male,56.38,25.880000000000003,High,9.1
2020,20-29,Male,33.55,33.33,Low,18.1
2024,70-79,Female,8.080000000000002,23.14,High,16.1
2020,60-69,Male,12.93,65.29,High,9.1
